Frame,Time,Rigid Body 1 X,Rigid Body 1 Y,Rigid Body 1 Z,Rigid Body 2 X,Rigid Body 2 Y,Rigid Body 2 Z,Rigid Body 3 X,Rigid Body 3 Y,Rigid Body 3 Z,Rigid Body 4 X,Rigid Body 4 Y,Rigid Body 4 Z
166,1.383333,0.023144,0.060697,0.150803,0.013219,0.063121,0.25387,0.027898,0.064697,0.030423,0.020712,0.064468,0.125855
167,1.391667,0.023352,0.060702,0.150786,0.012801,0.063367,0.253429,0.027804,0.064839,0.030673,0.020827,0.064429,0.125819
168,1.4,0.023591,0.060694,0.150731,0.012169,0.063343,0.254009,0.027928,0.064635,0.029694,0.020849,0.064701,0.12594
169,1.408333,0.023702,0.060691,0.150733,0.011438,0.062935,0.255023,0.028068,0.064574,0.028937,0.020591,0.064682,0.125284
170,1.416667,0.023243,0.060728,0.150649,0.01125,0.062701,0.255088,0.028009,0.064661,0.029149,0.020761,0.064462,0.125251
171,1.425,0.023214,0.06063,0.150759,0.011396,0.062819,0.253936,0.027909,0.064559,0.029909,0.020693,0.064446,0.125649
172,1.433333,0.023574,0.060621,0.150731,0.0113,0.063029,0.253217,0.027888,0.064752,0.03042,0.020759,0.064617,0.125864
173,1.441667,0.023729,0.060653,0.150651,0.010831,0.063067,0.253198,0.027856,0.064789,0.030414,0.020884,0.064511,0.125762
174,1.45,0.023995,0.060637,0.150732,0.01017,0.062944,0.254026,0.028059,0.064549,0.029161,0.020744,0.064778,0.125805
175,1.458333,0.023888,0.060668,0.150611,0.009583,0.06278,0.254709,0.028099,0.064614,0.028825,0.020607,0.064645,0.125116
176,1.466667,0.023412,0.060652,0.150665,0.009602,0.062664,0.254232,0.027976,0.064643,0.029251,0.020716,0.064483,0.125393
177,1.475,0.023588,0.060555,0.15071,0.009761,0.062736,0.253174,0.027893,0.064554,0.030037,0.020674,0.064623,0.125743
178,1.483333,0.023862,0.060596,0.150689,0.009496,0.062843,0.252878,0.027885,0.064769,0.030342,0.020752,0.064637,0.12577
179,1.491667,0.023966,0.060642,0.150618,0.009064,0.062757,0.253105,0.027892,0.064709,0.029974,0.020837,0.06462,0.125762
180,1.5,0.024185,0.060605,0.150744,0.008391,0.062652,0.25397,0.028094,0.064558,0.028824,0.020536,0.064808,0.125624
181,1.508333,0.023907,0.060624,0.150568,0.008015,0.062599,0.254273,0.028043,0.064655,0.028868,0.020533,0.064694,0.125186
182,1.516667,0.023598,0.060569,0.150682,0.008253,0.062566,0.253429,0.027931,0.064618,0.029449,0.020617,0.064652,0.125555
183,1.525,0.023874,0.060541,0.150671,0.008357,0.062597,0.252754,0.027915,0.064649,0.030061,0.020621,0.064575,0.125749
184,1.533333,0.024071,0.060565,0.150673,0.008053,0.062578,0.252732,0.027903,0.064749,0.030214,0.020719,0.064633,0.125676
185,1.541667,0.024245,0.060569,0.150641,0.007671,0.062543,0.25313,0.027977,0.064628,0.02949,0.02077,0.06475,0.125834
186,1.55,0.02443,0.06047,0.150727,0.007103,0.062527,0.253859,0.028133,0.064601,0.028698,0.020458,0.06489,0.125487
187,1.558333,0.024061,0.060561,0.15058,0.00701,0.062546,0.253761,0.028041,0.064691,0.028982,0.020615,0.064715,0.12534
188,1.566667,0.023964,0.060454,0.150729,0.007367,0.062517,0.252831,0.027954,0.064577,0.029633,0.020624,0.064686,0.125673
189,1.575,0.024226,0.060452,0.150713,0.007302,0.062622,0.252557,0.027947,0.064735,0.030063,0.020651,0.064686,0.125839
190,1.583333,0.024372,0.06049,0.150735,0.007072,0.062551,0.252579,0.027915,0.064781,0.030179,0.020759,0.064665,0.125791
191,1.591667,0.024534,0.060371,0.150827,0.006696,0.062565,0.253215,0.028068,0.064603,0.029183,0.020689,0.064874,0.126004
192,1.6,0.024542,0.06041,0.150795,0.006231,0.062505,0.253826,0.028132,0.064597,0.02881,0.020458,0.064897,0.125458
193,1.608333,0.024085,0.060439,0.150785,0.00634,0.062508,0.253453,0.028063,0.064687,0.02919,0.020597,0.064709,0.125595
